ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,23788,10.86%,21290
ひも,21293,9.72%,11032
手芸用テープ,21026,9.60%,12315
リボン,20606,9.41%,19061
ファスナー,17262,7.88%,11833
その他,16495,7.53%,8402
ボタン,14413,6.58%,12007
ミシン糸,12999,5.93%,7518
レース,11842,5.41%,12513
接着テープ・接着芯,8971,4.09%,4219
持ち手・ハンドル,6701,3.06%,2703
芯地,5471,2.50%,1529
ゴム,5402,2.47%,3788
型紙・パターン,5266,2.40%,3602
面ファスナー,4869,2.22%,1552
口金,4558,2.08%,2523
ホック,4317,1.97%,2435
手縫い糸,3636,1.66%,3006
バックル,2503,1.14%,2350
ブレード,2082,0.95%,2159
ネームシール,1497,0.68%,695
チェーン,1288,0.59%,940
裏地,1083,0.49%,581
スパンコール,1079,0.49%,1458
肩パット,331,0.15%,170
マラボー,307,0.14%,72
