ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ネックピロー・クッション,36698,35.26%,3244
耳栓,30388,29.20%,3191
アイマスク,20757,19.95%,2670
携帯用スリッパ,11482,11.03%,1368
フットレスト,3376,3.24%,544
その他,1365,1.31%,263
