ジャンル名,売上指数（千円）,シェア,商品ランク入り数
丼,227495,22.91%,4873
蒲焼き,157991,15.91%,5461
みそ汁,135426,13.64%,12764
セット・詰め合わせ,110544,11.13%,6056
佃煮,59068,5.95%,10775
その他,50597,5.10%,8424
唐揚げ,33310,3.35%,1860
お茶漬け,33226,3.35%,2955
雑炊,23327,2.35%,1400
煮物,17699,1.78%,3092
お粥,17364,1.75%,2637
おにぎり,17059,1.72%,1514
焼豚,15103,1.52%,1264
寿司,12647,1.27%,1726
焼き鳥・つくね,12294,1.24%,1433
刺身・たたき,10099,1.02%,777
お好み焼き,9959,1.00%,937
お吸い物,9913,1.00%,1302
おでん,9433,0.95%,1222
たこ焼き,7183,0.72%,747
おこわ,4848,0.49%,799
ひつまぶし,3991,0.40%,225
白焼き,3616,0.36%,246
焼き魚,3595,0.36%,423
天ぷら,2487,0.25%,512
赤飯,1887,0.19%,354
茶碗蒸し,1481,0.15%,198
天かす・揚げ玉,541,0.05%,115
卵焼き,426,0.04%,98
もんじゃ焼き,195,0.02%,24
おひたし,73,0.01%,13
卯の花,32,0.00%,4
