ジャンル名,売上指数（千円）,シェア,商品ランク入り数
みかん,866670,56.13%,28357
りんご,277310,17.96%,10600
いちご,70955,4.60%,4570
セット・詰め合わせ,63792,4.13%,3341
柿,60146,3.90%,2534
その他,30224,1.96%,3292
ブルーベリー,27945,1.81%,1226
レモン,20307,1.32%,2514
オレンジ,14989,0.97%,937
ブドウ,10445,0.68%,696
グレープフルーツ,9997,0.65%,774
ザクロ,9805,0.64%,579
栗,9595,0.62%,751
メロン,9194,0.60%,672
キウイフルーツ,8536,0.55%,806
洋梨,8033,0.52%,543
マンゴー,5868,0.38%,668
さくらんぼ,4455,0.29%,250
じゃばら,4391,0.28%,320
スイカ,4360,0.28%,286
バナナ,3876,0.25%,448
和梨,3324,0.22%,342
梅,2904,0.19%,445
パイナップル,2714,0.18%,384
アボカド,2293,0.15%,369
ゆず,2166,0.14%,287
すだち,1924,0.12%,285
ライチ,1485,0.10%,155
桃,1415,0.09%,208
パパイヤ,1102,0.07%,143
ドラゴンフルーツ,656,0.04%,71
びわ,592,0.04%,84
あんず,577,0.04%,102
ドリアン,575,0.04%,63
イチジク,466,0.03%,84
パッションフルーツ,295,0.02%,25
かぼす,229,0.01%,25
プラム,209,0.01%,14
マンゴスチン,74,0.00%,4
ミラクルフルーツ,35,0.00%,5
