ジャンル名,売上指数（千円）,シェア,商品ランク入り数
カニ,456044,19.75%,10851
サバ,357409,15.48%,4631
サケ,269976,11.69%,9360
貝類,193357,8.37%,13745
加工品,143376,6.21%,21227
魚卵,133432,5.78%,11294
エビ,112383,4.87%,6240
セット・詰め合わせ,105331,4.56%,8864
マグロ,101657,4.40%,4476
イカ,77628,3.36%,9610
海藻類,76421,3.31%,10803
その他水産物,47501,2.06%,6658
フグ,44197,1.91%,2624
ホッケ,41437,1.79%,1024
ウニ,26208,1.13%,1739
アジ,20837,0.90%,1489
タイ,18243,0.79%,1698
ブリ,15540,0.67%,1137
タラ,14552,0.63%,1418
カツオ,13465,0.58%,1521
イワシ,11532,0.50%,2856
タコ,10006,0.43%,1723
その他,9360,0.41%,1659
サンマ,3633,0.16%,408
シシャモ,3548,0.15%,431
生ちりめん・生しらす,2197,0.10%,437
