ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,493051,26.96%,139094
手帳・ノート・紙製品,251177,13.73%,105892
画材,152888,8.36%,31305
ファイル・バインダー,114165,6.24%,33966
ギフトラッピング用品,114001,6.23%,64460
ラベル・ステッカー,91566,5.01%,38660
その他,88053,4.81%,17199
机上収納・整理用品,88006,4.81%,16870
プレゼンテーション用品,80545,4.40%,9366
写真整理用品,71311,3.90%,10938
はさみ・裁断用品,52289,2.86%,11452
セロハンテープ・のり・接着剤,42866,2.34%,15856
書道用具,42309,2.31%,10487
ブックカバー,29816,1.63%,6524
クリップ・結束用具,18171,0.99%,9541
製図用品,16826,0.92%,6453
名札,13748,0.75%,4881
ホッチキス・穴あきパンチ,12283,0.67%,4151
紙幣計数機・コインカウンタ,12136,0.66%,472
マグネットシート,12135,0.66%,1556
マグネット,9402,0.51%,4396
ブックマーク・しおり,6025,0.33%,2150
画鋲・ピン,4642,0.25%,1211
下敷き,2827,0.15%,2109
チェックライター・ナンバーリング,2796,0.15%,547
製本機,2666,0.15%,726
紙めくり・事務用スポンジ,1990,0.11%,1333
タスキ・腕章,966,0.05%,265
レタースケール,365,0.02%,56
