ジャンル名,売上指数（千円）,シェア,商品ランク入り数
トイレットペーパーホルダー,55006,30.47%,5803
その他,54235,30.04%,5322
トイレマット・カバー・シート,38424,21.28%,9569
便座,26351,14.60%,1352
携帯用洗浄機,5692,3.15%,700
トイレディスペンサー,829,0.46%,157
