ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,140183,31.87%,15701
スポンジ・たわし・ブラシ,111232,25.29%,20478
モップ,37205,8.46%,4738
ほうき,23812,5.41%,4471
雑巾・テーブルダスター,23276,5.29%,4696
フローリングワックス,19079,4.34%,2467
ガラス・サッシ掃除用具,17201,3.91%,3105
フロアワイパー・ダスター本体,12685,2.88%,4253
使い捨てクロス,11784,2.68%,2056
粘着式クリーナー,10663,2.42%,2468
フロアワイパー・ダスター取替シート,10525,2.39%,1790
バケツ,8925,2.03%,2485
トイレポット,5165,1.17%,839
はたき,2814,0.64%,752
スプレーボトル,2360,0.54%,802
ちりとり,2052,0.47%,792
モップ絞り器,671,0.15%,152
ラバーカップ,248,0.06%,135
パイプブラシ(2002削除),0,0.00%,213
高圧洗浄機(1611削除),0,0.00%,4038
