ジャンル名,売上指数（千円）,シェア,商品ランク入り数
お茶・紅茶,1447055,26.79%,156698
コーヒー,1311182,24.28%,95657
水・炭酸水,1035303,19.17%,29000
炭酸飲料,563748,10.44%,26784
野菜・果実飲料,480237,8.89%,29000
スポーツドリンク,97065,1.80%,9329
乳酸菌飲料,93853,1.74%,8409
植物性ミルク,91465,1.69%,11287
お酢飲料,66173,1.23%,7978
甘酒,54683,1.01%,6882
その他,43664,0.81%,4631
希釈用ドリンク,29050,0.54%,3978
ココア・チョコレートドリンク,23564,0.44%,3946
ゼリー飲料,18851,0.35%,2841
牛乳,17219,0.32%,2317
スムージー,16258,0.30%,1248
生姜湯,4493,0.08%,963
フルーツ入り乳飲料,3981,0.07%,565
柚子茶,3114,0.06%,379
