ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,176856,27.71%,29985
その他,171513,26.87%,15587
モップ,54752,8.58%,5200
バケツ,33736,5.29%,2704
雑巾・テーブルダスター,30420,4.77%,5357
フローリングワックス,29741,4.66%,2508
ガラス・サッシ掃除用具,24347,3.81%,3649
ほうき,23647,3.70%,3763
粘着式クリーナー,20685,3.24%,3415
フロアワイパー・ダスター本体,18507,2.90%,3530
フロアワイパー・ダスター取替シート,17402,2.73%,3161
使い捨てクロス,16787,2.63%,2212
トイレポット,7413,1.16%,1044
はたき,5039,0.79%,904
スプレーボトル,3153,0.49%,1108
ちりとり,2385,0.37%,654
ラバーカップ,1107,0.17%,245
モップ絞り器,780,0.12%,150
