ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,227379,24.91%,18465
防災セット・非常用持ちだし袋,178427,19.55%,3941
簡易トイレ,91432,10.02%,4040
火災警報器・ガス警報器,65745,7.20%,4075
その他,57435,6.29%,5097
消火器,36010,3.95%,2290
懐中電灯,31751,3.48%,4982
保存水,30706,3.36%,1880
家具転倒防止用品,29551,3.24%,5351
メガホン・拡声器,25906,2.84%,1057
防災ヘルメット,21741,2.38%,1210
防災ラジオ,19825,2.17%,1263
携帯用浄水器,16876,1.85%,646
防災頭巾,14336,1.57%,2076
携帯トイレ,10307,1.13%,1432
簡易毛布・寝袋,8971,0.98%,1426
応急手当用品,8644,0.95%,1116
避難はしご,8028,0.88%,434
固形燃料,6960,0.76%,720
給水用品,6204,0.68%,1329
土嚢,5617,0.62%,407
ガソリン缶,2689,0.29%,342
笛・ホイッスル,2101,0.23%,712
担架,2036,0.22%,144
放射能測定器・ガイガーカウンター,1821,0.20%,124
発熱・加熱剤,1547,0.17%,445
防災用ストーブ,658,0.07%,133
