ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,142010,30.58%,12310
サラシア,54421,11.72%,1458
マカ,40334,8.69%,4232
キノコ・マッシュルーム,31419,6.77%,2016
スピルリナ,24925,5.37%,1091
ウコン,24467,5.27%,4001
ブルーベリー,21275,4.58%,3110
ノコギリヤシ,16091,3.47%,1554
高麗人参,14339,3.09%,862
イチョウ葉,13757,2.96%,1585
田七人参,12364,2.66%,792
梅肉,10668,2.30%,1168
クロレラ,8420,1.81%,929
フコイダン,7616,1.64%,223
じゃばら,6821,1.47%,563
フォルスコリ,5117,1.10%,663
ニンニク,4342,0.94%,474
チアシード,3936,0.85%,823
プエラリア,3242,0.70%,483
トンカットアリ,3151,0.68%,506
セントジョーンズワート,2491,0.54%,575
アサイー,2389,0.51%,357
ゴジベリー,1979,0.43%,207
マキベリー,1840,0.40%,196
カプサイシン,1622,0.35%,304
ビーポーレン,1255,0.27%,204
黒豆,1156,0.25%,129
エキナセア,1053,0.23%,261
ガラナ,705,0.15%,122
カカオ,615,0.13%,90
メシマコブ茸,257,0.06%,88
カムカム,210,0.05%,96
バジルシード,37,0.01%,109
