ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,425351,25.62%,136070
手帳・ノート・紙製品,219709,13.23%,101898
画材,171767,10.35%,31685
ファイル・バインダー,98682,5.94%,33109
ギフトラッピング用品,92360,5.56%,56845
机上収納・整理用品,83244,5.01%,16888
ラベル・ステッカー,76795,4.63%,36155
書道用具,75573,4.55%,12831
プレゼンテーション用品,75145,4.53%,9136
その他,72628,4.37%,19511
写真整理用品,61037,3.68%,11958
はさみ・裁断用品,44879,2.70%,10290
セロハンテープ・のり・接着剤,35742,2.15%,14954
ブックカバー,24474,1.47%,6198
クリップ・結束用具,16473,0.99%,8603
製図用品,16033,0.97%,6666
名札,13594,0.82%,4907
ホッチキス・穴あきパンチ,11688,0.70%,4099
マグネットシート,10290,0.62%,1603
紙幣計数機・コインカウンタ,9339,0.56%,334
マグネット,7745,0.47%,4052
ブックマーク・しおり,3752,0.23%,1691
画鋲・ピン,3564,0.21%,1246
製本機,2922,0.18%,762
チェックライター・ナンバーリング,2800,0.17%,390
下敷き,1939,0.12%,1675
紙めくり・事務用スポンジ,1510,0.09%,1232
タスキ・腕章,875,0.05%,223
レタースケール,385,0.02%,100
