ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,45327,55.11%,2069
ハモ,4932,6.00%,576
ノドグロ,4873,5.92%,414
ナマコ,4169,5.07%,220
アユ,3655,4.44%,795
カンパチ,2527,3.07%,222
エイ,2192,2.66%,415
サメ,1967,2.39%,173
カレイ,1645,2.00%,513
サワラ,1324,1.61%,170
ヒラメ,1292,1.57%,194
クエ,1187,1.44%,148
ニシン,1094,1.33%,388
カワハギ,1088,1.32%,285
トビウオ,736,0.89%,232
クラゲ,703,0.85%,223
アカメ・メヒカリ,472,0.57%,128
ハタハタ,415,0.50%,161
イワナ,411,0.50%,116
キス,381,0.46%,185
アンコウ,356,0.43%,139
マス,316,0.38%,142
コイ,255,0.31%,133
コチ,204,0.25%,111
タチウオ,186,0.23%,125
カジキ,162,0.20%,122
メバル,74,0.09%,98
カマス,68,0.08%,123
サヨリ,58,0.07%,123
スズキ,57,0.07%,98
カサゴ,44,0.05%,102
イサキ,34,0.04%,117
オコゼ,33,0.04%,99
アラ,7,0.01%,5
アイナメ,6,0.01%,91
ヤマメ,3,0.00%,92
