ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,242541,25.03%,16271
防災セット・非常用持ちだし袋,131631,13.58%,3685
簡易トイレ,119017,12.28%,4803
火災警報器・ガス警報器,116497,12.02%,4966
その他,73700,7.61%,4973
消火器,43157,4.45%,2221
保存水,34700,3.58%,1587
家具転倒防止用品,28813,2.97%,4474
懐中電灯,24024,2.48%,3924
携帯用浄水器,22984,2.37%,805
防災ラジオ,22875,2.36%,1049
メガホン・拡声器,18245,1.88%,784
携帯トイレ,15085,1.56%,1559
簡易毛布・寝袋,12769,1.32%,1390
防災頭巾,10324,1.07%,1156
防災ヘルメット,10170,1.05%,808
避難はしご,7737,0.80%,443
応急手当用品,6845,0.71%,754
給水用品,6439,0.66%,1038
固形燃料,5611,0.58%,661
土嚢,5283,0.55%,302
笛・ホイッスル,3338,0.34%,847
発熱・加熱剤,2566,0.26%,518
ガソリン缶,2212,0.23%,318
担架,1717,0.18%,91
放射能測定器・ガイガーカウンター,587,0.06%,22
防災用ストーブ,173,0.02%,6
