ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,83710,15.17%,15724
きのこ,78610,14.24%,6224
にんにく,71800,13.01%,6182
サツマイモ,67089,12.16%,5441
とうもろこし,34765,6.30%,2717
ジャガイモ,30918,5.60%,3262
たまねぎ,29674,5.38%,3268
セット・詰め合わせ,28557,5.17%,3216
その他野菜,26177,4.74%,7476
カット野菜,17070,3.09%,1438
にんじん,15880,2.88%,1564
生姜,15519,2.81%,1693
トマト,10789,1.96%,2154
その他,8566,1.55%,2132
かぼちゃ,6038,1.09%,1393
里芋,4162,0.75%,634
ねぎ,3698,0.67%,1049
ごぼう,2942,0.53%,903
山菜,2937,0.53%,582
ほうれん草,2308,0.42%,687
キャベツ,2150,0.39%,679
らっきょう,1449,0.26%,300
水煮野菜,1404,0.25%,296
ナス,1347,0.24%,569
大根,1029,0.19%,520
キュウリ,1014,0.18%,306
レタス,805,0.15%,306
アスパラガス,758,0.14%,266
白菜,454,0.08%,211
ニラ,233,0.04%,153
