ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,415605,30.61%,10365
入浴剤,292684,21.56%,27176
整理棚・ラック,92854,6.84%,8423
ソープボトル・シャンプーボトル,84917,6.25%,7737
その他,82828,6.10%,9783
バスマット,74045,5.45%,8588
風呂ふた,53424,3.93%,3966
椅子,48129,3.54%,3944
自動ソープディスペンサー,44265,3.26%,1762
タオルハンガー,39227,2.89%,5154
サウナハット,22104,1.63%,1532
洗面器・風呂桶,17409,1.28%,2234
ボディタオル,15647,1.15%,4822
バス保温器,13674,1.01%,330
浴槽・浴室内マット,11743,0.86%,1503
セット,10141,0.75%,685
石けんケース・石けん台,9433,0.69%,2458
ボディスポンジ,8467,0.62%,1704
シャワーヘッドホルダー・シャワーフック,6950,0.51%,870
ボディブラシ,4901,0.36%,1233
シャワーカーテン,3973,0.29%,1045
バスピロー,2404,0.18%,369
バスブーツ,1272,0.09%,238
泡立てネット,878,0.06%,312
軽石,701,0.05%,300
