ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ウインナーソーセージ,17692,46.52%,2678
その他,7883,20.73%,928
フランクフルト,4213,11.08%,596
生ソーセージ,2926,7.69%,793
あらびき,2366,6.22%,569
ボロニアソーセージ,1758,4.62%,270
チョリソー,905,2.38%,254
骨付き,289,0.76%,150
