ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ブドウ,312137,24.63%,12576
みかん,265442,20.95%,7969
りんご,121953,9.62%,8205
和梨,120056,9.47%,7853
柿,72160,5.69%,5166
セット・詰め合わせ,61002,4.81%,3617
桃,54838,4.33%,2979
栗,47963,3.79%,3340
その他,41891,3.31%,3201
メロン,28253,2.23%,1942
ブルーベリー,23936,1.89%,1385
レモン,17836,1.41%,2264
洋梨,15969,1.26%,1259
イチジク,12785,1.01%,1081
スイカ,11290,0.89%,714
マンゴー,10724,0.85%,1088
いちご,7788,0.61%,1121
ザクロ,6557,0.52%,424
プラム,3829,0.30%,449
キウイフルーツ,3815,0.30%,592
梅,3121,0.25%,703
バナナ,2937,0.23%,527
パイナップル,2896,0.23%,561
かぼす,2774,0.22%,414
すだち,2746,0.22%,553
グレープフルーツ,1837,0.14%,302
オレンジ,1499,0.12%,276
ゆず,1271,0.10%,235
アボカド,1248,0.10%,279
ドラゴンフルーツ,1171,0.09%,191
パパイヤ,830,0.07%,178
じゃばら,776,0.06%,85
ドリアン,775,0.06%,96
あんず,661,0.05%,140
ライチ,624,0.05%,137
マンゴスチン,492,0.04%,42
さくらんぼ,424,0.03%,80
パッションフルーツ,367,0.03%,48
びわ,330,0.03%,76
ミラクルフルーツ,95,0.01%,21
