ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ダイエットドリンク,259610,38.46%,15371
ダイエット器具,203972,30.22%,7804
ダイエットフード,97871,14.50%,9112
ダイエットスイーツ,49435,7.32%,6438
ダイエット・シェイプアップウェア,46437,6.88%,5893
その他,17698,2.62%,1373
