ジャンル名,売上指数（千円）,シェア,商品ランク入り数
お茶・紅茶,2349182,28.60%,179611
コーヒー,2095500,25.51%,112475
水・炭酸水,1243934,15.15%,31000
炭酸飲料,830889,10.12%,29520
野菜・果実飲料,820732,9.99%,31000
スポーツドリンク,161985,1.97%,11969
植物性ミルク,142926,1.74%,15197
乳酸菌飲料,121020,1.47%,10556
お酢飲料,103995,1.27%,9159
希釈用ドリンク,87502,1.07%,6296
甘酒,69077,0.84%,7630
その他,59794,0.73%,5951
ゼリー飲料,34190,0.42%,4482
ココア・チョコレートドリンク,32841,0.40%,4357
スムージー,23712,0.29%,1616
牛乳,19746,0.24%,2458
生姜湯,6087,0.07%,982
フルーツ入り乳飲料,5885,0.07%,763
柚子茶,4246,0.05%,428
