ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,68500,17.52%,13273
にんにく,59821,15.30%,5196
とうもろこし,53040,13.57%,3543
その他野菜,27539,7.04%,6474
サツマイモ,26706,6.83%,2941
たまねぎ,21552,5.51%,2608
セット・詰め合わせ,20341,5.20%,2385
きのこ,19270,4.93%,3791
生姜,15074,3.86%,1698
トマト,11850,3.03%,2271
にんじん,11033,2.82%,1257
ジャガイモ,9890,2.53%,1860
カット野菜,9018,2.31%,1294
その他,6811,1.74%,1653
山菜,4040,1.03%,605
アスパラガス,3955,1.01%,556
らっきょう,3421,0.87%,421
ねぎ,3264,0.83%,888
かぼちゃ,3242,0.83%,684
ナス,2242,0.57%,669
ごぼう,2135,0.55%,642
ほうれん草,1866,0.48%,500
大根,1540,0.39%,461
水煮野菜,1409,0.36%,271
キャベツ,1175,0.30%,433
キュウリ,1062,0.27%,322
レタス,492,0.13%,241
里芋,368,0.09%,146
白菜,241,0.06%,148
ニラ,109,0.03%,114
