ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,26897,26.97%,2429
クエ,19851,19.90%,539
ナマコ,8020,8.04%,544
アンコウ,7928,7.95%,639
カンパチ,4540,4.55%,266
ハタハタ,4280,4.29%,576
ノドグロ,3523,3.53%,522
ニシン,2976,2.98%,967
カレイ,2820,2.83%,744
アユ,2585,2.59%,731
エイ,2581,2.59%,494
サメ,2262,2.27%,243
カワハギ,1865,1.87%,463
トビウオ,1611,1.62%,332
ヒラメ,1355,1.36%,213
サワラ,1285,1.29%,162
クラゲ,918,0.92%,291
コイ,734,0.74%,210
ハモ,600,0.60%,117
スズキ,547,0.55%,29
カジキ,491,0.49%,112
アカメ・メヒカリ,422,0.42%,105
キス,381,0.38%,170
マス,366,0.37%,97
イワナ,304,0.30%,43
タチウオ,162,0.16%,52
サヨリ,115,0.11%,15
カサゴ,77,0.08%,26
カマス,71,0.07%,43
イサキ,42,0.04%,16
アラ,33,0.03%,17
メバル,24,0.02%,15
アイナメ,21,0.02%,4
オコゼ,19,0.02%,3
コチ,14,0.01%,7
ヤマメ,13,0.01%,7
