ジャンル名,売上指数（千円）,シェア,商品ランク入り数
サラシア,126786,20.19%,1742
その他,115005,18.31%,13574
マカ,61260,9.76%,4847
ブルーベリー,61080,9.73%,4078
キノコ・マッシュルーム,37669,6.00%,2411
ウコン,31756,5.06%,4512
スピルリナ,28872,4.60%,1312
高麗人参,21330,3.40%,952
フォルスコリ,21042,3.35%,915
ノコギリヤシ,20780,3.31%,1807
田七人参,15597,2.48%,929
イチョウ葉,14445,2.30%,1792
クロレラ,13246,2.11%,1218
フコイダン,12856,2.05%,302
梅肉,10625,1.69%,1360
チアシード,5324,0.85%,997
プエラリア,4150,0.66%,583
トンカットアリ,4064,0.65%,560
アサイー,3430,0.55%,452
セントジョーンズワート,3384,0.54%,675
ニンニク,3300,0.53%,382
ゴジベリー,2017,0.32%,186
マキベリー,1616,0.26%,283
カプサイシン,1614,0.26%,324
ビーポーレン,1483,0.24%,194
黒豆,1419,0.23%,138
エキナセア,1231,0.20%,337
じゃばら,743,0.12%,174
カカオ,738,0.12%,101
ガラナ,658,0.10%,118
メシマコブ茸,316,0.05%,93
バジルシード,82,0.01%,99
カムカム,36,0.01%,93
