ジャンル名,売上指数（千円）,シェア,商品ランク入り数
書道セット,8207,22.59%,1530
書道筆,7869,21.66%,2851
半紙,6965,19.17%,1902
その他,5484,15.09%,1666
墨・墨汁,4709,12.96%,1488
書道下敷,920,2.53%,412
文鎮,872,2.40%,347
落款印,442,1.22%,172
すずり,358,0.99%,169
書道バッグ,349,0.96%,182
筆巻き,154,0.42%,156
