ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1922261,27.10%,41767
その他,1221998,17.23%,30000
植物性エキス,627951,8.85%,47540
ファイトケミカル,569911,8.04%,13699
アミノ酸,549551,7.75%,25146
ビタミン,523162,7.38%,38225
酵素,259370,3.66%,12306
ミネラル,234242,3.30%,23441
プロバイオティクス,229854,3.24%,11291
脂肪酸・オイル,202185,2.85%,11205
コラーゲン,197480,2.78%,11452
プラセンタ,100400,1.42%,4197
食物繊維,90551,1.28%,6842
グルコサミン・コンドロイチン,65524,0.92%,4931
ビタミン・ミネラル混合,65259,0.92%,2098
動物性エキス,63681,0.90%,4596
クエン酸,36761,0.52%,3391
ラクトフェリン,24239,0.34%,928
プロポリス,24052,0.34%,2476
ヒアルロン酸,17409,0.25%,1390
ミドリムシ,17150,0.24%,1073
オリゴ糖,16712,0.24%,2138
ローヤルゼリー,14527,0.20%,1204
動植物性混合エキス,13687,0.19%,1502
核酸,4725,0.07%,373
