ジャンル名,売上指数（千円）,シェア,商品ランク入り数
丼,260775,25.86%,5101
蒲焼き,235217,23.32%,7579
みそ汁,94976,9.42%,12249
セット・詰め合わせ,93090,9.23%,6203
お茶漬け,58343,5.78%,3386
その他,48783,4.84%,8220
佃煮,47723,4.73%,11132
唐揚げ,22935,2.27%,1662
雑炊,14996,1.49%,1340
寿司,14305,1.42%,2200
煮物,13434,1.33%,2869
おこわ,11972,1.19%,910
おにぎり,11904,1.18%,1429
お粥,11451,1.14%,2506
刺身・たたき,9550,0.95%,936
焼豚,9114,0.90%,1247
焼き鳥・つくね,8848,0.88%,1534
お好み焼き,8394,0.83%,1067
お吸い物,8303,0.82%,1258
焼き魚,5755,0.57%,592
たこ焼き,5063,0.50%,850
ひつまぶし,3136,0.31%,298
白焼き,2753,0.27%,278
おでん,2609,0.26%,582
天ぷら,1612,0.16%,578
赤飯,1407,0.14%,351
茶碗蒸し,1335,0.13%,209
天かす・揚げ玉,395,0.04%,99
卵焼き,299,0.03%,94
もんじゃ焼き,43,0.00%,12
おひたし,15,0.00%,3
