ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,33194,12.75%,24061
リボン,27973,10.75%,17331
手芸用テープ,23942,9.20%,12886
ひも,22446,8.62%,11336
ファスナー,20517,7.88%,12606
ボタン,17170,6.60%,12835
その他,16640,6.39%,8902
レース,15721,6.04%,13291
ミシン糸,14190,5.45%,7727
接着テープ・接着芯,9811,3.77%,4023
ゴム,7129,2.74%,4028
持ち手・ハンドル,7036,2.70%,2752
型紙・パターン,6146,2.36%,3617
芯地,5918,2.27%,1554
ホック,5744,2.21%,2911
口金,5390,2.07%,2585
面ファスナー,4747,1.82%,1583
手縫い糸,3907,1.50%,2851
ブレード,3000,1.15%,2667
バックル,2816,1.08%,2353
ネームシール,2122,0.82%,1059
裏地,1431,0.55%,603
チェーン,1417,0.54%,971
スパンコール,1272,0.49%,1636
肩パット,292,0.11%,182
マラボー,278,0.11%,81
