ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,64845,16.73%,14683
とうもろこし,60253,15.54%,4272
にんにく,55987,14.44%,5792
たまねぎ,26068,6.72%,2962
その他野菜,24618,6.35%,7517
セット・詰め合わせ,23927,6.17%,3102
サツマイモ,22335,5.76%,2751
きのこ,19466,5.02%,4305
にんじん,12982,3.35%,1467
トマト,11956,3.08%,2524
カット野菜,11563,2.98%,1211
ジャガイモ,9132,2.36%,2050
生姜,8244,2.13%,1581
その他,6893,1.78%,1997
らっきょう,3785,0.98%,523
アスパラガス,3627,0.94%,628
かぼちゃ,3077,0.79%,850
ねぎ,2966,0.77%,976
ナス,2504,0.65%,780
ごぼう,2398,0.62%,791
山菜,2218,0.57%,577
キャベツ,2040,0.53%,660
ほうれん草,1699,0.44%,642
水煮野菜,1329,0.34%,310
キュウリ,1086,0.28%,378
大根,1066,0.28%,483
レタス,674,0.17%,305
里芋,382,0.10%,197
白菜,330,0.09%,196
ニラ,188,0.05%,146
