ジャンル名,売上指数（千円）,シェア,商品ランク入り数
果実酢,43222,59.29%,3777
その他,10857,14.89%,2542
米酢,6587,9.04%,1596
バルサミコ,6056,8.31%,1239
穀物酢,1810,2.48%,547
玄米酢,1776,2.44%,368
セット・詰め合わせ,1686,2.31%,162
白ワインビネガー,576,0.79%,262
赤ワインビネガー,325,0.45%,183
