ジャンル名,売上指数（千円）,シェア,商品ランク入り数
丼,286777,31.29%,5386
蒲焼き,131265,14.32%,5215
みそ汁,107952,11.78%,12178
セット・詰め合わせ,73707,8.04%,4979
佃煮,47068,5.13%,10932
その他,46001,5.02%,8663
お茶漬け,30397,3.32%,2978
焼豚,25251,2.75%,1294
唐揚げ,23844,2.60%,1526
雑炊,20412,2.23%,1449
寿司,17798,1.94%,1954
煮物,13618,1.49%,2926
お粥,13065,1.43%,2464
おにぎり,10943,1.19%,1284
おでん,8708,0.95%,1242
刺身・たたき,8406,0.92%,829
お好み焼き,8309,0.91%,1008
焼き鳥・つくね,8197,0.89%,1370
お吸い物,7476,0.82%,1151
たこ焼き,6030,0.66%,836
焼き魚,5339,0.58%,540
おこわ,3480,0.38%,710
茶碗蒸し,3325,0.36%,282
白焼き,2744,0.30%,247
ひつまぶし,2672,0.29%,226
赤飯,1594,0.17%,385
天ぷら,1377,0.15%,520
天かす・揚げ玉,487,0.05%,101
卵焼き,254,0.03%,81
もんじゃ焼き,95,0.01%,23
おひたし,28,0.00%,8
なます・酢の物,3,0.00%,1
