ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,38771,38.66%,3300
もどきご飯・こんにゃくご飯,23636,23.57%,2110
麺類,19328,19.28%,3534
食事セット,10793,10.76%,748
粥・リゾット,4558,4.55%,972
スープ,3188,3.18%,702
