ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,447889,27.78%,10672
入浴剤,332229,20.61%,26873
整理棚・ラック,119450,7.41%,9784
バスマット,112530,6.98%,9971
ソープボトル・シャンプーボトル,106922,6.63%,8531
椅子,82683,5.13%,5107
風呂ふた,70774,4.39%,4297
その他,67568,4.19%,10313
自動ソープディスペンサー,60589,3.76%,2031
タオルハンガー,57041,3.54%,6057
サウナハット,28028,1.74%,1693
洗面器・風呂桶,21067,1.31%,2499
ボディタオル,19355,1.20%,5565
浴槽・浴室内マット,18296,1.13%,1650
セット,12479,0.77%,949
石けんケース・石けん台,11803,0.73%,2751
バス保温器,10394,0.64%,319
ボディスポンジ,10202,0.63%,1922
ボディブラシ,6051,0.38%,1358
シャワーヘッドホルダー・シャワーフック,5832,0.36%,1040
シャワーカーテン,4827,0.30%,1147
バスピロー,2782,0.17%,423
バスブーツ,1572,0.10%,273
泡立てネット,1107,0.07%,400
軽石,728,0.05%,300
