ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,207027,28.05%,13484
サラシア,89766,12.16%,1663
ブルーベリー,63550,8.61%,3665
マカ,59850,8.11%,4960
スピルリナ,54095,7.33%,1488
キノコ・マッシュルーム,49341,6.69%,2456
ウコン,36764,4.98%,4555
ノコギリヤシ,25187,3.41%,1888
高麗人参,21730,2.94%,819
田七人参,17440,2.36%,941
イチョウ葉,17318,2.35%,1816
クロレラ,15989,2.17%,1124
梅肉,13069,1.77%,1366
フコイダン,12114,1.64%,247
トンカットアリ,10757,1.46%,549
フォルスコリ,8285,1.12%,832
チアシード,4899,0.66%,793
プエラリア,4689,0.64%,570
アサイー,3988,0.54%,398
セントジョーンズワート,3237,0.44%,668
ニンニク,3071,0.42%,411
カプサイシン,2794,0.38%,358
ゴジベリー,2749,0.37%,226
ビーポーレン,1913,0.26%,217
エキナセア,1785,0.24%,404
マキベリー,1781,0.24%,243
黒豆,1697,0.23%,142
じゃばら,1095,0.15%,209
ガラナ,726,0.10%,145
カカオ,638,0.09%,108
メシマコブ茸,564,0.08%,100
バジルシード,76,0.01%,118
カムカム,48,0.01%,151
