ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,346157,25.30%,125906
手帳・ノート・紙製品,201244,14.71%,74328
画材,120695,8.82%,35592
ギフトラッピング用品,93432,6.83%,58507
その他,91626,6.70%,23520
ファイル・バインダー,72072,5.27%,32353
ラベル・ステッカー,64944,4.75%,1269
机上収納・整理用品,63811,4.66%,16686
書道用具,54708,4.00%,12769
写真整理用品,53831,3.94%,12906
プレゼンテーション用品,53689,3.92%,10435
セロハンテープ・のり・接着剤,31141,2.28%,11836
はさみ・裁断用品,29534,2.16%,5294
ブックカバー,16665,1.22%,6546
製図用品,14154,1.03%,6596
クリップ・結束用具,12503,0.91%,6984
ホッチキス・穴あきパンチ,10173,0.74%,3860
名札,8404,0.61%,0
マグネット,7361,0.54%,5520
紙幣計数機・コインカウンタ,4479,0.33%,298
マグネットシート,4005,0.29%,0
画鋲・ピン,2857,0.21%,0
下敷き,2181,0.16%,1624
製本機,1989,0.15%,1060
ブックマーク・しおり,1950,0.14%,1297
紙めくり・事務用スポンジ,1880,0.14%,0
チェックライター・ナンバーリング,1770,0.13%,0
タスキ・腕章,400,0.03%,183
レタースケール,331,0.02%,0
事務用品(1703削除),0,0.00%,41765
手帳・日記帳・家計簿(2202削除),0,0.00%,35714
