ジャンル名,売上指数（千円）,シェア,商品ランク入り数
油,245144,16.49%,24876
だし,234258,15.75%,24877
しお,120144,8.08%,18383
砂糖・甘味料,109208,7.34%,14137
ソース・たれ,98029,6.59%,21871
しょうゆ,84366,5.67%,20423
スパイス,82873,5.57%,25455
酢,70315,4.73%,10421
ふりかけ,60545,4.07%,13076
みそ,46661,3.14%,14054
その他,46473,3.13%,8691
セット・詰め合わせ,37682,2.53%,3086
料理の素,32750,2.20%,9681
ドレッシング,31644,2.13%,9465
めんつゆ,28555,1.92%,6937
麹,24323,1.64%,3449
ミックススパイス・混合調味料,18442,1.24%,5849
中華調味料,18036,1.21%,5818
ポン酢,17522,1.18%,4611
みりん,17343,1.17%,2703
アジアン・エスニック調味料,9913,0.67%,2656
マヨネーズ,8933,0.60%,2438
韓国調味料,7050,0.47%,2853
ケチャップ,5818,0.39%,1814
ハーブ,5772,0.39%,2576
料理酒,5143,0.35%,1008
わさび,4911,0.33%,1624
ラーメンスープ,4090,0.28%,1477
酒粕,3814,0.26%,914
からし・マスタード,3556,0.24%,1590
ラード,2035,0.14%,214
生わさび,1716,0.12%,401
