ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,11663,22.78%,1734
クエ,7938,15.50%,311
ナマコ,5022,9.81%,326
アンコウ,3049,5.96%,385
ノドグロ,2419,4.72%,344
アユ,2168,4.23%,647
ハタハタ,2145,4.19%,321
サメ,2046,4.00%,268
エイ,1991,3.89%,506
ニシン,1669,3.26%,650
カンパチ,1636,3.19%,213
カレイ,1505,2.94%,538
カワハギ,1419,2.77%,415
ヒラメ,926,1.81%,179
ハモ,771,1.51%,167
アカメ・メヒカリ,737,1.44%,144
トビウオ,731,1.43%,257
クラゲ,629,1.23%,222
サワラ,610,1.19%,182
マス,585,1.14%,155
カジキ,316,0.62%,133
イワナ,295,0.58%,126
キス,279,0.54%,177
コイ,246,0.48%,149
タチウオ,127,0.25%,128
スズキ,80,0.16%,104
カマス,60,0.12%,207
カサゴ,50,0.10%,129
サヨリ,46,0.09%,114
コチ,17,0.03%,97
メバル,11,0.02%,97
オコゼ,10,0.02%,94
イサキ,7,0.01%,94
ヤマメ,1,0.00%,91
アイナメ,0,0.00%,120
