ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,8589,26.95%,1887
山芋・自然薯,6589,20.67%,895
菊芋,4396,13.79%,558
ブロッコリー,3165,9.93%,670
れんこん,1936,6.08%,515
たけのこ,1262,3.96%,214
カリフラワー,1252,3.93%,157
ゴーヤー,774,2.43%,144
明日葉,661,2.07%,87
オクラ,516,1.62%,184
小松菜,503,1.58%,243
ピーマン,407,1.28%,205
銀杏,389,1.22%,107
セロリ,388,1.22%,127
行者にんにく,252,0.79%,49
かぶ,163,0.51%,96
ヤーコン,146,0.46%,27
大葉・しそ,138,0.43%,87
パセリ,95,0.30%,59
エシャロット,90,0.28%,32
春菊,71,0.22%,58
パクチー・コリアンダー,42,0.13%,24
水菜,30,0.09%,30
ルッコラ,15,0.05%,11
