ジャンル名,売上指数（千円）,シェア,商品ランク入り数
バスタオル,221163,35.12%,18728
フェイスタオル,202854,32.21%,27048
ヘアドライタオル,52461,8.33%,2005
冷却タオル,48085,7.64%,4894
その他,38776,6.16%,7582
セット,37788,6.00%,6026
てぬぐい,19145,3.04%,9792
ラップタオル,5662,0.90%,875
ビーチタオル,3836,0.61%,725
