ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,617002,25.06%,26753
簡易トイレ,565841,22.98%,8430
防災セット・非常用持ちだし袋,457378,18.58%,6109
保存水,115226,4.68%,2356
その他,107305,4.36%,7344
火災警報器・ガス警報器,105877,4.30%,4660
家具転倒防止用品,76937,3.13%,7718
防災ラジオ,60308,2.45%,1933
携帯用浄水器,52277,2.12%,926
消火器,50549,2.05%,2563
携帯トイレ,47386,1.92%,2448
懐中電灯,38257,1.55%,4925
防災ヘルメット,24201,0.98%,1384
簡易毛布・寝袋,22233,0.90%,2528
防災頭巾,21221,0.86%,2025
給水用品,20280,0.82%,2319
メガホン・拡声器,19974,0.81%,992
応急手当用品,13653,0.55%,1341
避難はしご,8814,0.36%,486
固形燃料,8612,0.35%,889
土嚢,7135,0.29%,426
発熱・加熱剤,6315,0.26%,1133
笛・ホイッスル,5614,0.23%,1311
担架,4545,0.18%,111
ガソリン缶,2569,0.10%,285
放射能測定器・ガイガーカウンター,1256,0.05%,38
防災用ストーブ,1053,0.04%,9
