ジャンル名,売上指数（千円）,シェア,商品ランク入り数
赤身,38146,54.53%,2225
セット・詰め合わせ,22412,32.04%,1216
霜降り,3540,5.06%,385
その他,2548,3.64%,540
レバー,2068,2.96%,227
タテガミ,836,1.20%,198
ハツ,205,0.29%,99
モツ,125,0.18%,114
タン,74,0.11%,101
