ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,75252,29.81%,7543
こめ油,41282,16.35%,3251
ココナッツオイル,24119,9.55%,2192
ごま油,21211,8.40%,3171
セット・詰め合わせ,20475,8.11%,2198
亜麻仁油,18205,7.21%,1490
その他,15620,6.19%,2470
なたね油・キャノーラ油,11613,4.60%,1480
えごま油,7770,3.08%,1118
サラダ油,7248,2.87%,582
グレープシードオイル,3763,1.49%,206
大豆油,2179,0.86%,195
トリュフオイル,1082,0.43%,151
ひまわり油,753,0.30%,149
べに花油,466,0.18%,75
玄米油,463,0.18%,73
アボカドオイル,442,0.17%,77
椿油,265,0.10%,43
ピーナッツオイル,189,0.07%,22
コーン油,35,0.01%,9
マスタードオイル,10,0.00%,2
