ジャンル名,売上指数（千円）,シェア,商品ランク入り数
蒲焼き,319964,18.78%,9260
丼,273452,16.05%,6008
セット・詰め合わせ,222812,13.08%,10201
みそ汁,177412,10.41%,15910
その他,125371,7.36%,12071
お茶漬け,118210,6.94%,4932
佃煮,100780,5.91%,16168
唐揚げ,45637,2.68%,2334
寿司,43880,2.58%,4113
刺身・たたき,32438,1.90%,1541
お吸い物,31846,1.87%,2428
雑炊,25582,1.50%,1611
煮物,22118,1.30%,4232
焼き鳥・つくね,22117,1.30%,2131
焼豚,20692,1.21%,1777
おでん,18693,1.10%,2019
お粥,18166,1.07%,2929
おこわ,16180,0.95%,1358
おにぎり,15735,0.92%,1601
お好み焼き,14194,0.83%,1336
焼き魚,9227,0.54%,723
ひつまぶし,7000,0.41%,387
天ぷら,5466,0.32%,925
白焼き,5114,0.30%,487
たこ焼き,5006,0.29%,772
茶碗蒸し,2793,0.16%,364
赤飯,2283,0.13%,462
卵焼き,840,0.05%,192
天かす・揚げ玉,507,0.03%,98
なます・酢の物,275,0.02%,50
おひたし,131,0.01%,24
もんじゃ焼き,61,0.00%,11
卯の花,58,0.00%,6
