ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,654957,29.63%,11028
入浴剤,473577,21.43%,28945
ソープボトル・シャンプーボトル,169164,7.65%,9650
整理棚・ラック,144625,6.54%,10199
バスマット,143702,6.50%,10634
その他,102336,4.63%,10820
椅子,95458,4.32%,5451
風呂ふた,77234,3.49%,4503
タオルハンガー,74203,3.36%,6374
自動ソープディスペンサー,70580,3.19%,2355
サウナハット,34003,1.54%,2179
ボディタオル,32634,1.48%,6333
浴槽・浴室内マット,23668,1.07%,1927
バス保温器,23375,1.06%,389
洗面器・風呂桶,21454,0.97%,2934
石けんケース・石けん台,16624,0.75%,2956
ボディスポンジ,11116,0.50%,1983
ボディブラシ,8933,0.40%,1333
シャワーヘッドホルダー・シャワーフック,8647,0.39%,1288
セット,8218,0.37%,852
シャワーカーテン,6947,0.31%,1256
バスピロー,3883,0.18%,475
バスブーツ,2007,0.09%,271
泡立てネット,1695,0.08%,405
軽石,1105,0.05%,307
