ジャンル名,売上指数（千円）,シェア,商品ランク入り数
お茶・紅茶,1207174,25.43%,153129
コーヒー,1107793,23.34%,96276
水・炭酸水,864328,18.21%,30980
炭酸飲料,594861,12.53%,29542
野菜・果実飲料,442247,9.32%,30959
スポーツドリンク,99986,2.11%,9645
その他,85832,1.81%,9265
乳酸菌飲料,76938,1.62%,7933
植物性ミルク,70109,1.48%,10287
お酢飲料,68531,1.44%,8551
甘酒,40693,0.86%,5849
希釈用ドリンク,22502,0.47%,3488
ゼリー飲料,21176,0.45%,3198
牛乳,16148,0.34%,2519
ココア・チョコレートドリンク,12176,0.26%,3311
スムージー,8586,0.18%,938
生姜湯,3024,0.06%,689
フルーツ入り乳飲料,2875,0.06%,456
柚子茶,1878,0.04%,194
