ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,21686,31.95%,6857
唐辛子,16256,23.95%,4975
山椒・花椒,5662,8.34%,1550
ブラックペッパー,4936,7.27%,2070
ジンジャー,4243,6.25%,1485
シナモン,4024,5.93%,1477
ガーリック,2525,3.72%,1222
オニオン,1877,2.76%,568
カルダモン,1643,2.42%,715
クローブ,1539,2.27%,628
ターメリック,855,1.26%,497
ホワイトペッパー,633,0.93%,358
パプリカ,466,0.69%,285
コリアンダー,460,0.68%,309
サフラン,405,0.60%,181
ナツメグ,396,0.58%,227
スターアニス,277,0.41%,216
