ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,262228,25.36%,16440
防災セット・非常用持ちだし袋,250940,24.26%,4074
簡易トイレ,90745,8.77%,3598
火災警報器・ガス警報器,65077,6.29%,3200
家具転倒防止用品,43219,4.18%,5322
保存水,42044,4.07%,1865
その他,41661,4.03%,4075
消火器,41057,3.97%,1880
懐中電灯,36790,3.56%,4432
防災ラジオ,25264,2.44%,1178
携帯用浄水器,17753,1.72%,559
携帯トイレ,17219,1.66%,1340
防災ヘルメット,17198,1.66%,1068
メガホン・拡声器,15182,1.47%,1005
応急手当用品,11833,1.14%,1158
給水用品,10853,1.05%,1356
避難はしご,8837,0.85%,423
土嚢,7718,0.75%,405
簡易毛布・寝袋,6842,0.66%,1120
固形燃料,6333,0.61%,586
ガソリン缶,4057,0.39%,332
担架,2508,0.24%,158
笛・ホイッスル,2504,0.24%,754
放射能測定器・ガイガーカウンター,2174,0.21%,132
防災頭巾,1799,0.17%,397
発熱・加熱剤,1693,0.16%,374
防災用ストーブ,638,0.06%,106
