ジャンル名,売上指数（千円）,シェア,商品ランク入り数
切れ子,64230,57.70%,3131
真子,31402,28.21%,2118
その他,11533,10.36%,1716
イカ明太,3550,3.19%,245
明太高菜,550,0.49%,197
クラゲ明太,45,0.04%,90
