ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,202752,27.18%,16364
防災セット・非常用持ちだし袋,106693,14.30%,3660
簡易トイレ,86109,11.54%,4647
火災警報器・ガス警報器,61511,8.25%,3593
その他,58996,7.91%,4590
保存水,30598,4.10%,1690
消火器,28873,3.87%,2016
携帯用浄水器,25962,3.48%,971
防災ラジオ,21255,2.85%,1234
懐中電灯,21063,2.82%,3809
家具転倒防止用品,20531,2.75%,4285
メガホン・拡声器,16170,2.17%,983
携帯トイレ,11820,1.58%,1550
応急手当用品,10006,1.34%,1167
防災ヘルメット,7432,1.00%,773
土嚢,6733,0.90%,477
避難はしご,6246,0.84%,416
給水用品,5917,0.79%,1180
簡易毛布・寝袋,4448,0.60%,866
固形燃料,3333,0.45%,545
笛・ホイッスル,2768,0.37%,915
担架,1959,0.26%,97
発熱・加熱剤,1771,0.24%,469
ガソリン缶,1400,0.19%,194
防災頭巾,1185,0.16%,265
放射能測定器・ガイガーカウンター,320,0.04%,17
防災用ストーブ,106,0.01%,2
