ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,6726,30.06%,1968
山芋・自然薯,4666,20.86%,766
ブロッコリー,1918,8.58%,483
カリフラワー,1583,7.07%,255
菊芋,1364,6.10%,309
れんこん,1044,4.67%,368
小松菜,769,3.44%,357
オクラ,709,3.17%,327
大葉・しそ,703,3.14%,235
明日葉,641,2.87%,129
ゴーヤー,602,2.69%,196
たけのこ,449,2.00%,213
ピーマン,328,1.46%,260
セロリ,198,0.88%,145
行者にんにく,137,0.61%,128
パセリ,94,0.42%,140
かぶ,88,0.39%,118
エシャロット,86,0.39%,120
パクチー・コリアンダー,83,0.37%,123
銀杏,73,0.32%,19
ヤーコン,41,0.18%,104
春菊,32,0.14%,102
水菜,23,0.10%,131
ルッコラ,15,0.07%,131
