ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,2286746,27.58%,41151
その他,1342468,16.19%,30000
植物性エキス,780843,9.42%,48906
ビタミン,709557,8.56%,40630
アミノ酸,631818,7.62%,25524
ファイトケミカル,583190,7.03%,14976
ミネラル,308966,3.73%,25098
プロバイオティクス,266506,3.21%,11587
酵素,254550,3.07%,12147
脂肪酸・オイル,218802,2.64%,11651
コラーゲン,187482,2.26%,11251
食物繊維,128213,1.55%,7294
プラセンタ,123425,1.49%,4286
ビタミン・ミネラル混合,96729,1.17%,2809
グルコサミン・コンドロイチン,83264,1.00%,4796
動物性エキス,67840,0.82%,4747
クエン酸,55347,0.67%,3927
ラクトフェリン,36006,0.43%,955
オリゴ糖,29186,0.35%,2281
ローヤルゼリー,26451,0.32%,1258
プロポリス,21093,0.25%,2189
ヒアルロン酸,19093,0.23%,1583
ミドリムシ,16323,0.20%,1021
動植物性混合エキス,12977,0.16%,1272
核酸,5561,0.07%,430
