ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,45300,16.47%,26395
リボン,29112,10.59%,18953
ファスナー,24503,8.91%,14067
ひも,23235,8.45%,12326
手芸用テープ,22962,8.35%,13415
ボタン,19795,7.20%,14523
レース,16265,5.91%,12862
その他,15816,5.75%,9522
ミシン糸,13602,4.95%,7205
接着テープ・接着芯,9266,3.37%,3926
ゴム,6163,2.24%,3757
持ち手・ハンドル,5492,2.00%,2320
芯地,5415,1.97%,1567
口金,5267,1.92%,2779
ホック,5045,1.83%,2624
型紙・パターン,4928,1.79%,2685
手縫い糸,4435,1.61%,3061
面ファスナー,4125,1.50%,1505
ネームシール,3562,1.30%,1462
バックル,2979,1.08%,2280
ブレード,2896,1.05%,2315
スパンコール,1754,0.64%,1681
裏地,1351,0.49%,610
チェーン,1187,0.43%,833
肩パット,314,0.11%,137
マラボー,252,0.09%,86
