ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,674740,28.78%,166560
手帳・ノート・紙製品,286069,12.20%,119817
画材,209588,8.94%,36926
書道用具,183048,7.81%,17021
ファイル・バインダー,143368,6.11%,45295
机上収納・整理用品,120667,5.15%,21200
ギフトラッピング用品,105318,4.49%,65209
その他,100345,4.28%,21042
プレゼンテーション用品,87976,3.75%,10872
ラベル・ステッカー,83395,3.56%,38923
写真整理用品,72125,3.08%,11689
はさみ・裁断用品,59791,2.55%,14069
セロハンテープ・のり・接着剤,42485,1.81%,18485
ブックカバー,30865,1.32%,6954
製図用品,22394,0.96%,8411
クリップ・結束用具,20585,0.88%,10745
名札,20167,0.86%,6473
紙幣計数機・コインカウンタ,15818,0.67%,518
ホッチキス・穴あきパンチ,14816,0.63%,5336
マグネットシート,13554,0.58%,1874
マグネット,8790,0.37%,4796
チェックライター・ナンバーリング,6260,0.27%,730
画鋲・ピン,6141,0.26%,1429
下敷き,4453,0.19%,3232
製本機,4070,0.17%,898
ブックマーク・しおり,4001,0.17%,2109
紙めくり・事務用スポンジ,1935,0.08%,1552
タスキ・腕章,1153,0.05%,282
レタースケール,638,0.03%,92
