ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,466545,25.58%,146786
手帳・ノート・紙製品,439578,24.10%,145782
ギフトラッピング用品,111412,6.11%,61409
ファイル・バインダー,93986,5.15%,32127
画材,89976,4.93%,28972
その他,79970,4.39%,21738
ラベル・ステッカー,77592,4.25%,35969
机上収納・整理用品,74630,4.09%,16619
プレゼンテーション用品,73823,4.05%,9497
写真整理用品,73234,4.02%,12628
セロハンテープ・のり・接着剤,41266,2.26%,16497
書道用具,39967,2.19%,11139
はさみ・裁断用品,35137,1.93%,10391
ブックカバー,29061,1.59%,6547
クリップ・結束用具,17036,0.93%,9063
製図用品,15542,0.85%,6837
名札,13052,0.72%,4421
ホッチキス・穴あきパンチ,11294,0.62%,4061
マグネット,7515,0.41%,3931
マグネットシート,7335,0.40%,1466
紙幣計数機・コインカウンタ,7099,0.39%,344
製本機,4626,0.25%,709
ブックマーク・しおり,3253,0.18%,1537
画鋲・ピン,2845,0.16%,1265
チェックライター・ナンバーリング,2272,0.12%,300
下敷き,2068,0.11%,1619
紙めくり・事務用スポンジ,2004,0.11%,1450
タスキ・腕章,772,0.04%,195
レタースケール,737,0.04%,152
