ジャンル名,売上指数（千円）,シェア,商品ランク入り数
マカロニ,3693,56.61%,662
その他,1960,30.05%,694
ペンネ,540,8.28%,263
フジッリ,276,4.24%,147
ファルファーレ,53,0.82%,20
