ジャンル名,売上指数（千円）,シェア,商品ランク入り数
だし,291359,18.83%,30715
油,223007,14.41%,22894
しお,112051,7.24%,18596
砂糖・甘味料,102105,6.60%,15231
しょうゆ,93266,6.03%,22422
スパイス,86297,5.58%,26237
みそ,74532,4.82%,17821
ソース・たれ,70866,4.58%,21792
酢,66058,4.27%,9838
ふりかけ,59332,3.83%,14350
その他,43202,2.79%,8748
セット・詰め合わせ,42451,2.74%,3153
麹,41838,2.70%,4898
料理の素,34142,2.21%,11819
みりん,27697,1.79%,3326
ドレッシング,25376,1.64%,8714
めんつゆ,24893,1.61%,6972
中華調味料,18217,1.18%,5970
ポン酢,16898,1.09%,4998
ミックススパイス・混合調味料,16480,1.07%,5720
酒粕,13578,0.88%,2212
マヨネーズ,9921,0.64%,2556
アジアン・エスニック調味料,8590,0.56%,2396
韓国調味料,7544,0.49%,3186
料理酒,7488,0.48%,1162
ハーブ,7353,0.48%,3383
ケチャップ,6141,0.40%,1992
わさび,4563,0.29%,1497
ラーメンスープ,4448,0.29%,1681
からし・マスタード,3128,0.20%,1601
ラード,2925,0.19%,324
生わさび,1630,0.11%,366
