ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏具,214559,55.70%,17322
神具,55708,14.46%,6147
線香,42867,11.13%,11340
数珠,28938,7.51%,4088
その他,16904,4.39%,3392
朱印帳,13280,3.45%,4240
仏前ろうそく,9371,2.43%,2953
数珠袋,2027,0.53%,858
ろうそく立て,1117,0.29%,365
ろうそく消し,454,0.12%,252
