ジャンル名,売上指数（千円）,シェア,商品ランク入り数
だし,386671,19.18%,35055
油,312009,15.48%,28746
しょうゆ,125260,6.21%,26782
しお,120693,5.99%,19454
砂糖・甘味料,112275,5.57%,15862
セット・詰め合わせ,106919,5.30%,5228
スパイス,103457,5.13%,28624
ソース・たれ,92778,4.60%,25018
みそ,84280,4.18%,19983
酢,83604,4.15%,11413
ふりかけ,69555,3.45%,15617
その他,57910,2.87%,9972
料理の素,51073,2.53%,15250
麹,42452,2.11%,4735
ドレッシング,39914,1.98%,10595
めんつゆ,33971,1.69%,8276
みりん,28548,1.42%,3622
ポン酢,27984,1.39%,6638
中華調味料,24215,1.20%,6531
ミックススパイス・混合調味料,21960,1.09%,6565
酒粕,14014,0.70%,2198
マヨネーズ,10471,0.52%,2851
アジアン・エスニック調味料,10287,0.51%,2685
韓国調味料,9322,0.46%,3677
ハーブ,8599,0.43%,3625
料理酒,7991,0.40%,1261
ケチャップ,6745,0.33%,2233
わさび,6491,0.32%,1951
ラーメンスープ,5759,0.29%,2044
からし・マスタード,3942,0.20%,1813
ラード,3408,0.17%,308
生わさび,3050,0.15%,500
