ジャンル名,売上指数（千円）,シェア,商品ランク入り数
パスタソース,41558,42.39%,7388
その他,34966,35.67%,6316
焼肉のたれ,9205,9.39%,3291
お好み焼きソース,2265,2.31%,866
オイスターソース,2105,2.15%,708
とんかつソース,1628,1.66%,671
中濃ソース,1534,1.57%,748
ウスターソース,1355,1.38%,649
焼きそばソース,1257,1.28%,447
ステーキソース,1081,1.10%,442
デミグラスソース,1075,1.10%,345
