ジャンル名,売上指数（千円）,シェア,商品ランク入り数
入浴剤,485945,25.72%,29945
シャワーヘッド,400552,21.20%,9958
その他,149086,7.89%,10869
ソープボトル・シャンプーボトル,128888,6.82%,8767
バスマット,113810,6.02%,9587
整理棚・ラック,110929,5.87%,9776
風呂ふた,101395,5.37%,4410
自動ソープディスペンサー,66625,3.53%,2371
椅子,66595,3.52%,5022
タオルハンガー,60344,3.19%,6152
ボディタオル,33753,1.79%,6797
サウナハット,28787,1.52%,2214
浴槽・浴室内マット,24942,1.32%,2219
ボディブラシ,18355,0.97%,1516
バス保温器,16939,0.90%,415
洗面器・風呂桶,16040,0.85%,2584
石けんケース・石けん台,15325,0.81%,3177
セット,12715,0.67%,929
ボディスポンジ,11628,0.62%,1964
シャワーヘッドホルダー・シャワーフック,10781,0.57%,1639
シャワーカーテン,6285,0.33%,1126
バスピロー,5100,0.27%,502
泡立てネット,1838,0.10%,509
バスブーツ,1648,0.09%,298
軽石,990,0.05%,348
