ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,49200,15.97%,26413
リボン,36038,11.70%,20209
ひも,25632,8.32%,11245
ファスナー,25567,8.30%,12787
手芸用テープ,25152,8.16%,12279
ボタン,24693,8.02%,14783
レース,16362,5.31%,10802
その他,15936,5.17%,8914
ミシン糸,14905,4.84%,6842
接着テープ・接着芯,10511,3.41%,4004
ゴム,8110,2.63%,3807
持ち手・ハンドル,6570,2.13%,2358
口金,6285,2.04%,2629
芯地,5913,1.92%,1553
ホック,5909,1.92%,2634
型紙・パターン,5834,1.89%,2606
面ファスナー,5055,1.64%,1518
手縫い糸,4912,1.59%,2878
バックル,3701,1.20%,2233
ブレード,3057,0.99%,1962
スパンコール,2216,0.72%,1585
ネームシール,2145,0.70%,1032
チェーン,1808,0.59%,875
裏地,1653,0.54%,646
マラボー,593,0.19%,129
肩パット,298,0.10%,154
