ジャンル名,売上指数（千円）,シェア,商品ランク入り数
みかん,249173,28.65%,14255
りんご,159680,18.36%,13255
ブドウ,108735,12.50%,6815
柿,98696,11.35%,8746
和梨,51773,5.95%,4237
栗,38220,4.39%,3115
セット・詰め合わせ,37748,4.34%,3103
洋梨,22424,2.58%,2257
メロン,12985,1.49%,1068
その他,12220,1.40%,2502
レモン,11936,1.37%,2372
ブルーベリー,11211,1.29%,1020
マンゴー,8208,0.94%,488
いちご,6756,0.78%,1089
桃,5025,0.58%,467
イチジク,4566,0.53%,648
キウイフルーツ,3796,0.44%,653
スイカ,3364,0.39%,388
バナナ,2370,0.27%,547
グレープフルーツ,2361,0.27%,312
すだち,2263,0.26%,368
かぼす,2137,0.25%,360
パイナップル,1968,0.23%,450
ザクロ,1950,0.22%,256
梅,1494,0.17%,422
プラム,1416,0.16%,188
オレンジ,1144,0.13%,217
ゆず,1097,0.13%,278
アボカド,818,0.09%,243
びわ,700,0.08%,183
パパイヤ,690,0.08%,181
ドラゴンフルーツ,681,0.08%,155
ドリアン,677,0.08%,126
さくらんぼ,455,0.05%,130
じゃばら,377,0.04%,184
あんず,356,0.04%,146
ライチ,177,0.02%,128
ミラクルフルーツ,124,0.01%,106
パッションフルーツ,10,0.00%,94
マンゴスチン,0,0.00%,93
