ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,84594,82.77%,12613
岩塩,10938,10.70%,3605
クリスタルソルト,3208,3.14%,888
ハーブソルト,1805,1.77%,886
セット・詰め合わせ,1655,1.62%,512
