ジャンル名,売上指数（千円）,シェア,商品ランク入り数
セット・詰め合わせ,508999,25.00%,14788
加工品,297066,14.59%,27451
貝類,161313,7.92%,15800
魚卵,148321,7.28%,883
マグロ,134811,6.62%,6198
カニ,133050,6.53%,6356
エビ,95518,4.69%,6864
イカ,85207,4.19%,10639
サケ,78843,3.87%,8090
ウニ,70154,3.45%,3785
その他水産物,59893,2.94%,9828
海藻類,52696,2.59%,10039
フグ,37517,1.84%,2019
カツオ,32241,1.58%,2476
サバ,31831,1.56%,4306
タイ,27067,1.33%,2039
ブリ,21374,1.05%,678
その他,16083,0.79%,1963
イワシ,11071,0.54%,2496
タコ,9003,0.44%,1918
アジ,6426,0.32%,1404
ホッケ,5798,0.28%,1061
タラ,4273,0.21%,899
生ちりめん・生しらす,3007,0.15%,707
サンマ,2577,0.13%,531
シシャモ,1849,0.09%,380
たらこ(1409削除),0,0.00%,1122
イクラ・筋子(1409削除),0,0.00%,2738
数の子(1409削除),0,0.00%,800
明太子(1409削除),0,0.00%,7024
